Luminosity,GlobalTemperature,WhitePopulation,BlackPopulation
0.8,8.868452860305162,168,168
0.8,14.736706907514224,162,294
0.8,19.9276605245951,156,506
0.8,24.309153560012923,148,662
0.8,27.089945841130696,139,689
0.8,28.74368073162058,135,702
0.8,29.871508718821215,129,710
0.8,30.728765719970582,123,716
0.8,31.666294340476206,112,727
0.8,32.46298888133156,105,734
0.8,33.02615008666108,101,736
0.8,33.45032651011584,97,737
0.8,34.05399668335801,89,747
0.8,34.56002918513313,84,749
0.8,35.23487664212768,75,758
0.8,35.68469959458952,73,762
0.8,36.176246264943906,67,766
0.8,36.70458153336367,61,772
0.8,37.21734992928673,56,778
0.8,37.85121256689151,46,778
0.8,38.53600509315048,39,789
0.8,39.02966861423591,35,789
0.8,39.49277797823193,30,792
0.8,40.14452143632145,21,799
0.8,40.59230813574045,18,799
0.8,40.974022330612726,14,799
0.8,39.91271328871074,18,684
0.8,37.01560664122866,30,485
0.8,33.80363718692205,44,356
0.8,32.373889733960375,53,410
0.8,32.36287990491906,60,509
0.8,33.05936806316971,65,602
0.8,33.82323324492202,69,662
0.8,34.56962956482597,68,697
0.8,35.10524177762464,68,714
0.8,35.55366295217736,67,729
0.8,35.910933196758386,66,739
0.8,35.986862210577556,67,732
0.8,35.97741931687797,67,727
0.8,36.05015825463805,64,723
0.8,36.15176367055696,61,718
0.8,36.20898494362168,60,715
0.8,36.27517700592005,59,715
0.8,36.28628766942718,59,713
0.8,36.313997384290204,59,715
0.8,36.336064135216944,58,712
0.8,36.32543793474976,58,710
0.8,36.30741503724141,58,709
0.8,36.29747580934645,58,709
0.8,36.35048183490857,58,715
0.8,36.38565947369198,58,716
0.8,36.479049903977376,56,716
0.8,37.01815826803599,45,723
0.8,37.76691477209248,32,721
0.8,38.206179341264395,23,691
0.8,38.01314754188008,16,622
0.8,37.399326820466655,12,552
0.8,36.87843071343721,9,517
0.8,36.60755518033701,11,523
0.8,36.765611847178235,12,557
0.8,37.1697944438736,14,598
0.8,37.761318158457705,14,639
0.8,38.47868838528736,13,679
0.8,39.14898822629393,14,716
0.8,39.643523423380266,14,733
0.8,40.01170002343455,14,746
0.8,40.224923872066356,14,749
0.8,40.35885119965485,14,752
0.8,40.361798149508374,15,749
0.8,40.31359874269935,15,744
0.8,40.22224055308236,15,737
0.8,40.13847783156225,15,733
0.8,40.06280682810112,15,729
0.8,39.984513437615064,15,725
0.8,39.8679322939982,15,717
0.8,39.74464987693231,17,718
0.8,39.597226176684295,17,709
0.8,39.417434240088845,17,698
0.8,39.166580033055645,17,681
0.8,38.624568117982975,18,642
0.8,37.99476547952336,21,616
0.8,37.761301815947874,22,628
0.8,37.59581103287389,21,619
0.8,37.35341006689334,20,598
0.8,37.028809809685,19,573
0.8,36.69871351116567,17,548
0.8,36.34465445080537,17,528
0.8,36.116182157510124,17,522
0.8,36.11901528801634,17,534
0.8,36.35894355417337,17,558
0.8,36.877898155963315,18,604
0.8,37.57506656475611,18,650
0.8,38.208285007911684,19,684
0.8,38.81381487062965,18,710
0.8,39.28391952950166,18,727
0.8,39.58429036965826,18,734
0.8,39.76242137244532,18,737
0.8,39.82209215763,19,738
0.8,39.84233528988905,19,737
0.8,39.82984394388545,19,735
0.8,39.905519385457524,17,736
0.8,40.02591381429641,15,737
0.8,40.05487592635111,14,730
0.8,40.053645078083655,13,725
0.8,40.06206820355175,11,718
0.8,40.11908810508408,9,716
0.8,39.909178265647,8,687
0.8,39.70731336319435,7,673
0.8,39.38555427844529,7,650
0.8,38.98720272285755,9,633
0.8,38.66093401568467,11,627
0.8,38.38125310752091,14,626
0.8,38.138848118537744,14,616
0.8,37.724355064837354,16,593
0.8,37.50808429698946,16,592
0.8,37.18466498581639,15,565
0.8,36.90007343612465,17,560
0.8,36.73489347778764,18,561
0.8,36.722368849177215,19,572
0.8,36.85589189447534,20,591
0.8,37.32718299088814,20,633
0.8,38.02060804051333,20,681
0.8,38.76702744971002,19,719
0.8,39.34809067302208,19,741
0.8,39.70606579458032,19,748
0.8,39.89457886542664,19,749
0.8,39.940915163531315,20,748
0.8,39.83149252058736,23,746
0.8,39.75669214405003,23,744
0.8,39.70860406507803,23,743
0.8,39.63967201347208,22,735
0.8,39.54274269404979,21,725
0.8,39.44349352337752,21,720
0.8,39.44097054006203,20,721
0.8,39.42436282653227,18,712
0.8,39.28292068550503,16,691
0.8,39.16905006318331,13,675
0.8,38.99151366245454,14,666
0.8,38.98502982423103,12,666
0.8,38.63023292030448,14,637
0.8,38.370295319006146,14,628
0.8,38.02261218395241,14,605
0.8,37.808014556319975,13,597
0.8,37.71371598430867,12,595
